-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2016 through 12/31/2021 
Location: Latitude  8.2739   Longitude 77.5674 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 261.01 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS        MERRA-2 Surface Pressure (kPa) 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,PS,WS50M,WS10M,T2M
2016,1,1,5,98.49,6.54,3.38,18.79
2016,1,1,6,98.57,5.91,3.48,19.26
2016,1,1,7,98.66,5.74,4.7,21.07
2016,1,1,8,98.72,7.67,6.18,22.94
2016,1,1,9,98.72,8.4,6.94,24.27
2016,1,1,10,98.68,8.67,7.21,25.2
2016,1,1,11,98.6,8.68,7.24,25.87
2016,1,1,12,98.5,8.6,7.14,26.29
2016,1,1,13,98.42,8.45,6.95,26.34
2016,1,1,14,98.36,8.3,6.73,26.19
2016,1,1,15,98.36,8.11,6.33,25.71
2016,1,1,16,98.42,7.57,5.22,24.76
2016,1,1,17,98.51,7.43,3.9,23.07
2016,1,1,18,98.61,7.42,3.65,22.01
2016,1,1,19,98.69,6.72,3.37,21.4
2016,1,1,20,98.74,6.35,3.18,20.84
2016,1,1,21,98.74,6.29,3.16,20.39
2016,1,1,22,98.7,6.26,3.15,19.96
2016,1,1,23,98.65,6.22,3.15,19.6
2016,1,2,0,98.59,6.21,3.14,19.3
2016,1,2,1,98.52,6.16,3.11,19.02
2016,1,2,2,98.47,5.82,2.94,18.69
2016,1,2,3,98.48,5.49,2.82,18.44
2016,1,2,4,98.54,5.34,2.77,18.26
2016,1,2,5,98.63,5.3,2.78,18.13
2016,1,2,6,98.73,5.34,2.99,19.01
2016,1,2,7,98.83,5.27,4.35,20.94
2016,1,2,8,98.88,7.48,6.05,22.84
2016,1,2,9,98.86,8.63,7.08,24.32
2016,1,2,10,98.78,9.0,7.42,25.36
2016,1,2,11,98.65,9.0,7.42,26.05
2016,1,2,12,98.52,8.78,7.24,26.52
2016,1,2,13,98.4,8.5,6.98,26.71
2016,1,2,14,98.33,8.23,6.66,26.57
2016,1,2,15,98.32,7.88,6.18,26.11
2016,1,2,16,98.37,7.26,5.05,25.16
2016,1,2,17,98.46,7.01,3.61,23.22
2016,1,2,18,98.55,7.17,3.56,22.16
2016,1,2,19,98.66,6.79,3.42,21.61
2016,1,2,20,98.72,6.53,3.27,21.09
